69, 51, 74, 82, 2.7600000000000002
69, 54, 74, 86, 2.83
68, 56, 80, 90, 2.94
72, 60, 83, 92, 3.0700000000000003
77, 61, 85, 90, 3.13
81, 66, 86, 93, 3.2600000000000002
80, 64, 86, 99, 3.29
87, 72, 93, 105, 3.5700000000000003
92, 73, 93, 103, 3.61
96, 80, 92, 99, 3.67
98, 80, 97, 103, 3.7800000000000002
94, 78, 97, 105, 3.74
102, 73, 94, 100, 3.69
105, 72, 90, 99, 3.66
107, 69, 91, 100, 3.67
109, 66, 94, 102, 3.71
100, 62, 94, 100, 3.56
104, 68, 98, 107, 3.77
112, 73, 105, 118, 4.08
120, 73, 106, 114, 4.13
124, 76, 112, 120, 4.32
121, 74, 116, 121, 4.32
121, 77, 112, 120, 4.3
125, 82, 111, 120, 4.38
124, 90, 114, 122, 4.5
